cyc | ls a sh srwR ce pad rdIn | srw0 srw4 mux_s1        a5 ce5 | tree_out    acc         accf av | shft   clmp relu rv | pw pout
----+------------------------- +--------------------------------+------------------------------------+--------------------+--------
  0 |  5 0  0   1  0  1     0 |    0    0 0000000000 2  1  |       62          19        -263 0 |     -5  -16  -16 0 | 0   10
  1 |  5 1  0   0  0  1     0 |    0    0 0000000000 0  0  |      319           0           0 0 |      0    0    0 0 | 0    0
  2 |  5 2  0   0  0  1     0 |    0    0 0000000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  3 |  5 3  0   0  0  1     0 |    0    0 0000000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  4 |  5 4  0   0  0  1     0 |    0    0 0000000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  5 |  5 5  0   0  0  1     0 |    0    0 0000000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  6 |  5 6  0   0  0  1     0 |    0    0 0000000000 1  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  7 |  5 7  1   0  0  1     0 |    0    0 0000000000 2  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  8 |  5 0  0   0  0  1     1 |    0    0 0000000000 3  0  |        0           0           0 0 |      0    0    0 0 | 0    0
  9 |  5 1  0   0  0  1     1 |    0    0 0000000000 4  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 10 |  5 2  0   0  0  1     1 |    0    0 0000000000 5  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 11 |  5 3  0   0  0  1     1 |    0    0 0000000000 6  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 12 |  5 4  0   0  0  1     1 |    0    0 0000000000 7  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 13 |  5 5  0   0  0  1     1 |    0    0 0000000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 14 |  5 6  0   0  0  1     1 |    0    0 0000000000 1  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 15 |  5 7  1   0  0  1     1 |    0    0 0000000000 2  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 16 |  5 0  0   0  0  1     2 |    0    0 0000000000 3  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 17 |  5 1  0   0  0  0     2 |    0    0 0000000000 4  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 18 |  5 2  0   0  0  0     2 |    0    0 0000000000 5  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 19 |  5 3  0   0  0  0     2 |    0    0 0000000000 6  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 20 |  5 4  0   0  0  0     2 |    0    0 0000000000 7  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 21 |  5 5  0   0  0  0     2 |    0    0 0000000000 0  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 22 |  5 6  0   0  0  0     2 |    0    0 0000000000 1  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 23 |  5 7  1   0  0  0     2 |    0    0 0000000000 2  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 24 |  5 0  0   0  0  0     3 |   16    0 0000000000 3  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 25 |  5 1  0   0  0  0     3 |   16    0 1000000000 4  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 26 |  5 2  0   0  0  0     3 |   16    0 1e00000000 5  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 27 |  5 3  0   0  0  0     3 |   16    0 fc00000000 6  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 28 |  5 4  0   0  0  0     3 |   16    0 0700000000 7  0  |        0           0           0 0 |      0    0    0 0 | 0    0
 29 |  5 5  0   0  0  0     3 |   16    0 1400000000 0  0  |      304           0           0 0 |      0    0    0 0 | 0    0
 30 |  5 6  0   0  0  0     3 |   16    0 1b00000000 1  0  |      120           0           0 0 |      0    0    0 0 | 0    0
 31 |  5 7  1   0  0  0     3 |   16    0 1600000000 2  0  |      -24           0           0 0 |      0    0    0 0 | 0    0
 32 |  5 0  0   0  0  0     4 |   12    0 0400000000 3  0  |     -203           0           0 0 |      0    0    0 0 | 0    0
 33 |  5 1  0   0  0  0     4 |   12    0 0c10000000 4  0  |      340           0           0 0 |      0    0    0 0 | 0    0
 34 |  5 2  0   0  0  0     4 |   12    0 1d1e000000 5  0  |      297           0           0 0 |      0    0    0 0 | 0    0
 35 |  5 3  0   0  0  0     4 |   12    0 24fc000000 6  0  |      264           0           0 0 |      0    0    0 0 | 0    0
 36 |  5 4  0   0  0  0     4 |   12    0 0207000000 7  0  |       36           0           0 0 |      0    0    0 0 | 0    0
 37 |  5 5  0   0  0  0     4 |   12    0 1114000000 0  0  |      740           0           0 0 |      0    0    0 0 | 0    0
 38 |  5 6  0   0  0  0     4 |   12    0 071b000000 1  0  |      986           0           0 0 |      0    0    0 0 | 0    0
 39 |  5 7  1   0  0  0     4 |   12    0 0d16000000 2  0  |      160           0           0 0 |      0    0    0 0 | 0    0
 40 |  5 0  0   0  1  0     5 |   11    0 1404000000 3  0  |     -149           0           0 0 |      0    0    0 0 | 0    0
 41 |  5 1  0   0  1  0     5 |   11    0 0b0c100000 4  0  |     1309           0           0 0 |      0    0    0 0 | 0    0
 42 |  5 2  0   0  1  0     5 |   11    0 141d1e0000 5  0  |      806           0           0 0 |      0    0    0 0 | 0    0
 43 |  5 3  0   0  1  0     5 |   11    0 2324fc0000 6  0  |      662           0           0 0 |      0    0    0 0 | 0    0
 44 |  5 4  0   0  1  0     5 |   11    0 f702070000 7  0  |      256           0           0 0 |      0    0    0 0 | 0    0
 45 |  5 5  0   0  1  0     5 |   11    0 f511140000 0  1  |      865           0           0 0 |      0    0    0 0 | 0    0
 46 |  5 6  0   0  1  0     5 |   11    0 17071b0000 1  1  |     1311         943           0 0 |      0    0    0 0 | 0    0
 47 |  5 7  1   0  1  0     5 |   11    0 120d160000 2  1  |      694        2254           0 0 |      0    0    0 0 | 0    0
 48 |  5 0  0   0  1  0     6 |    4    0 0e14040000 3  1  |      207        2948           0 0 |      0    0    0 0 | 0    0
 49 |  5 1  0   0  1  0     6 |    4    0 040b0c1000 4  1  |      380        3155           0 0 |      0    0    0 0 | 0    0
 50 |  5 2  0   0  1  0     6 |    4    0 1f141d1e00 5  1  |     1252        3535           0 0 |      0    0    0 0 | 0    0
 51 |  5 3  0   0  1  0     6 |    4    0 212324fc00 6  1  |      823        4787           0 0 |      0    0    0 0 | 0    0
 52 |  5 4  0   0  1  0     6 |    4    0 04f7020700 7  1  |      546        5610           0 0 |      0    0    0 0 | 0    0
