epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.1339659055864269,95.62026515151516,0.18345584208976495,93.14553990610328,0.0001
2,0.13231385894345515,95.69128787878788,0.18812756919664955,93.14553990610328,0.0001
3,0.13404234137498972,95.64393939393939,0.18549471355519945,93.14553990610328,0.0001
4,0.13218673691153526,95.703125,0.18298953722620234,93.05164319248826,0.0001
5,0.13324353465753974,95.76231060606061,0.1827765640378558,93.05164319248826,0.0001
6,0.1319004294998718,95.5965909090909,0.18521433769257414,93.2394366197183,0.0001
7,0.1319192937490615,95.703125,0.183814368512429,93.14553990610328,0.0001
8,0.1324216111873587,95.75047348484848,0.18434889876226865,93.2394366197183,0.0001
9,0.13152504582522492,95.79782196969697,0.18412673298461896,93.6150234741784,0.0001
10,0.13276684639806097,95.73863636363636,0.18631214176964872,93.2394366197183,0.0001
11,0.1318742777926452,95.65577651515152,0.18674473681360343,93.33333333333333,0.0001
12,0.13282783628638947,95.73863636363636,0.18246616670783136,93.2394366197183,0.0001
13,0.13021888233947032,95.84517045454545,0.1843173001573679,93.6150234741784,0.0001
14,0.13114522916801047,95.65577651515152,0.18428549830202764,93.6150234741784,0.0001
15,0.12964001196351918,95.84517045454545,0.1824647105985404,93.14553990610328,1e-05
16,0.12928890707817944,95.78598484848484,0.18176399686946557,93.14553990610328,1e-05
17,0.12949691944275843,95.78598484848484,0.1815304537544228,93.14553990610328,1e-05
18,0.12935242762394022,95.82149621212122,0.1821508005121504,93.33333333333333,1e-05
19,0.12956753909362084,95.75047348484848,0.18156100673155046,93.14553990610328,1e-05
20,0.1297113546029185,95.84517045454545,0.18111213137146454,93.2394366197183,1e-05
