epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s,is_best
69,0.136382,0.955611,0.179258,0.934272,0.928831,1.0e-04,0.5,0
70,0.136146,0.954309,0.178682,0.935211,0.929584,1.0e-04,0.5,1
71,0.137692,0.954901,0.179226,0.937089,0.931657,1.0e-04,0.5,0
72,0.135978,0.953835,0.179755,0.933333,0.927743,1.0e-04,0.5,0
73,0.135186,0.955966,0.179517,0.935211,0.929921,1.0e-04,0.5,0
74,0.134759,0.955966,0.179254,0.932394,0.926630,1.0e-04,0.5,0
75,0.136345,0.955137,0.178180,0.936150,0.930501,1.0e-04,0.5,1
76,0.135537,0.956321,0.179439,0.931455,0.925311,1.0e-04,0.4,0
77,0.135784,0.955729,0.178782,0.935211,0.929552,1.0e-04,0.5,0
78,0.136409,0.955966,0.178339,0.937089,0.931768,1.0e-04,0.5,0
79,0.135328,0.956321,0.178340,0.935211,0.929819,1.0e-04,0.5,0
80,0.135333,0.955729,0.178478,0.932394,0.926416,1.0e-04,0.4,0
81,0.134791,0.955729,0.179132,0.934272,0.928788,1.0e-04,0.5,0
82,0.135781,0.954782,0.181616,0.934272,0.928440,1.0e-04,0.5,0
83,0.135117,0.955611,0.178875,0.933333,0.927700,1.0e-04,0.5,0
84,0.135371,0.955848,0.178615,0.932394,0.926579,1.0e-04,0.5,0
85,0.134770,0.956203,0.180047,0.933333,0.927263,1.0e-04,0.5,0
86,0.134481,0.956439,0.179522,0.934272,0.928320,1.0e-04,0.5,0
87,0.134302,0.956321,0.178081,0.937089,0.931496,1.0e-04,0.5,1
88,0.135203,0.956558,0.178440,0.937089,0.931496,1.0e-04,0.5,0
89,0.133659,0.956676,0.179619,0.935211,0.929455,1.0e-04,0.5,0
90,0.134046,0.956439,0.178240,0.936150,0.930427,1.0e-04,0.5,0
91,0.135651,0.955729,0.178370,0.935211,0.929455,1.0e-04,0.5,0
92,0.133328,0.956795,0.178026,0.935211,0.929532,1.0e-04,0.5,1
93,0.133729,0.957386,0.180741,0.934272,0.928527,1.0e-04,0.5,0
94,0.133704,0.955492,0.179385,0.935211,0.929427,1.0e-04,0.5,0
95,0.134269,0.957150,0.179129,0.935211,0.929364,1.0e-04,0.5,0
96,0.133356,0.956676,0.179320,0.941784,0.936883,1.0e-04,0.5,0
97,0.133716,0.956558,0.178914,0.934272,0.928386,1.0e-04,0.5,0
98,0.133399,0.956321,0.177537,0.934272,0.928440,1.0e-04,0.5,1
99,0.131760,0.956558,0.178369,0.935211,0.929769,1.0e-04,0.5,0
100,0.132577,0.955966,0.177717,0.937089,0.931527,1.0e-04,0.6,0
