epoch,loss,val_f1,lr,time_s,best
1,0.107473,0.617857,1.0e-03,1.3,1
2,0.053905,0.663098,1.0e-03,1.3,1
3,0.046775,0.699179,1.0e-03,1.2,1
4,0.040659,0.721665,1.0e-03,1.2,1
5,0.035767,0.754050,9.9e-04,1.2,1
6,0.032233,0.757015,9.9e-04,1.2,1
7,0.029219,0.785245,9.9e-04,1.4,1
8,0.026798,0.782745,9.8e-04,1.2,0
9,0.025308,0.805878,9.8e-04,1.2,1
10,0.023802,0.817422,9.7e-04,1.2,1
11,0.022222,0.822326,9.6e-04,1.2,1
12,0.021009,0.818595,9.5e-04,1.2,0
13,0.020074,0.818440,9.5e-04,1.2,0
14,0.019031,0.818017,9.4e-04,1.3,0
15,0.018157,0.832607,9.3e-04,1.2,1
16,0.017395,0.865478,9.2e-04,1.3,1
17,0.016488,0.841511,9.0e-04,1.3,0
18,0.015810,0.883297,8.9e-04,1.2,1
19,0.015221,0.886409,8.8e-04,1.3,1
20,0.014710,0.866879,8.7e-04,1.4,0
21,0.014230,0.894225,8.5e-04,1.2,1
22,0.013796,0.896742,8.4e-04,1.2,1
23,0.013307,0.884430,8.2e-04,1.3,0
24,0.013015,0.895316,8.1e-04,1.4,0
25,0.012600,0.893970,7.9e-04,1.3,0
26,0.012333,0.908278,7.8e-04,1.3,1
27,0.012109,0.902616,7.6e-04,1.3,0
28,0.011826,0.910870,7.4e-04,1.3,1
29,0.011536,0.904590,7.3e-04,1.2,0
30,0.011200,0.883528,7.1e-04,1.3,0
31,0.011090,0.909459,6.9e-04,1.3,0
32,0.010914,0.920800,6.7e-04,1.3,1
33,0.010697,0.914380,6.5e-04,1.3,0
34,0.010487,0.909259,6.4e-04,1.3,0
35,0.010320,0.920442,6.2e-04,1.3,0
36,0.010185,0.906096,6.0e-04,1.3,0
37,0.010065,0.912005,5.8e-04,1.3,0
38,0.009987,0.900501,5.6e-04,1.2,0
39,0.009744,0.904753,5.4e-04,1.3,0
40,0.009657,0.924179,5.2e-04,1.3,1
41,0.009627,0.917773,5.0e-04,1.3,0
42,0.009389,0.918825,4.8e-04,1.4,0
43,0.009382,0.918366,4.6e-04,1.6,0
44,0.009310,0.925627,4.4e-04,1.4,1
45,0.009192,0.916601,4.2e-04,1.4,0
46,0.009086,0.926266,4.0e-04,1.5,1
47,0.008974,0.915284,3.8e-04,1.4,0
48,0.008942,0.918159,3.6e-04,1.4,0
49,0.008850,0.924898,3.5e-04,1.5,0
50,0.008879,0.915871,3.3e-04,1.4,0
51,0.008751,0.923802,3.1e-04,1.4,0
52,0.008702,0.921337,2.9e-04,2.1,0
53,0.008736,0.911186,2.7e-04,1.5,0
54,0.008609,0.924807,2.6e-04,1.5,0
55,0.008555,0.917194,2.4e-04,1.4,0
56,0.008520,0.921337,2.2e-04,1.4,0
57,0.008434,0.922643,2.1e-04,1.4,0
58,0.008451,0.923631,1.9e-04,1.4,0
59,0.008374,0.925899,1.8e-04,1.5,0
60,0.008375,0.918111,1.6e-04,1.5,0
61,0.008384,0.927076,1.5e-04,1.4,1
62,0.008288,0.926327,1.3e-04,1.4,0
63,0.008294,0.924929,1.2e-04,1.6,0
64,0.008271,0.924929,1.1e-04,2.3,0
65,0.008235,0.925899,9.5e-05,2.9,0
66,0.008158,0.926357,8.4e-05,1.9,0
67,0.008194,0.924929,7.4e-05,2.0,0
68,0.008184,0.925876,6.4e-05,1.9,0
69,0.008169,0.925930,5.4e-05,1.8,0
70,0.008145,0.925876,4.6e-05,1.8,0
71,0.008097,0.925387,3.8e-05,1.9,0
72,0.008113,0.924715,3.1e-05,2.1,0
73,0.008077,0.924715,2.4e-05,2.1,0
74,0.008104,0.925876,1.9e-05,1.8,0
75,0.008064,0.924288,1.4e-05,1.4,0
76,0.008100,0.924715,9.6e-06,1.4,0
77,0.008081,0.925876,6.2e-06,1.5,0
78,0.008061,0.924715,3.5e-06,1.4,0
79,0.008061,0.924715,1.5e-06,1.4,0
80,0.008047,0.924715,3.9e-07,1.3,0
